FoodNo,FoodName,Price
B1,Veg Manchurian Balls,185
B2,Paneer Manchurian,235
B3,Mushroom Manchurian,225
B4,Crispy Corn Chilli,210
B5,Cashew Nut Fry,210
B6,Veg Spring Rolls,210
B7,Paneer 65,225
B8,Paneer Tikka,255
